colorGrade,leafGrade,stapleCode,count
11,2,34,1
11,2,37,5
11,4,34,1
21,1,34,1
21,1,36,1
21,2,33,2
21,2,34,36
21,2,35,81
21,2,36,39
21,2,37,1
21,3,33,5
21,3,34,34
21,3,35,127
21,3,36,87
21,3,37,177
21,3,38,40
21,4,35,3
21,4,36,2
21,5,35,6
21,5,36,3
21,5,37,1
31,1,34,1
31,1,35,2
31,1,36,1
31,2,32,2
31,2,33,23
31,2,34,301
31,2,35,734
31,2,36,175
31,2,37,43
31,2,38,4
31,3,33,83
31,3,34,828
31,3,35,2354
31,3,36,1317
31,3,37,1144
31,3,38,212
31,3,39,26
31,4,32,4
31,4,33,94
31,4,34,302
31,4,35,745
31,4,36,833
31,4,37,734
31,4,38,109
31,4,39,7
31,5,33,2
31,5,34,25
31,5,35,111
31,5,36,214
31,5,37,247
31,5,38,43
31,5,39,3
31,6,35,5
31,6,36,3
31,6,37,14
31,6,38,1
41,2,34,5
41,2,35,22
41,2,36,10
41,2,37,3
41,3,32,3
41,3,33,37
41,3,34,184
41,3,35,370
41,3,36,398
41,3,37,425
41,3,38,107
41,3,39,17
41,3,40,2
41,4,32,8
41,4,33,86
41,4,34,479
41,4,35,1395
41,4,36,1907
41,4,37,1807
41,4,38,489
41,4,39,79
41,4,40,3
41,5,32,5
41,5,33,71
41,5,34,265
41,5,35,980
41,5,36,1423
41,5,37,894
41,5,38,168
41,5,39,29
41,6,32,1
41,6,33,12
41,6,34,70
41,6,35,197
41,6,36,258
41,6,37,116
41,6,38,23
41,6,39,5
41,7,34,4
41,7,35,4
41,7,36,6
41,7,37,3
41,7,38,1
41,8,37,1
43,3,35,1
43,3,36,5
43,3,37,7
43,3,38,2
43,4,34,1
43,4,35,4
43,4,36,17
43,4,37,12
43,4,38,1
43,5,34,1
43,5,35,3
43,5,36,8
43,5,37,9
43,6,34,1
43,6,35,1
51,2,35,1
51,2,36,3
51,2,38,4
51,2,39,1
51,3,33,3
51,3,34,10
51,3,35,7
51,3,36,16
51,3,37,78
51,3,38,48
51,3,39,50
51,3,40,6
51,4,33,20
51,4,34,62
51,4,35,84
51,4,36,58
51,4,37,57
51,4,38,15
51,4,39,8
51,4,40,3
51,4,41,1
51,5,32,2
51,5,33,37
51,5,34,122
51,5,35,143
51,5,36,96
51,5,37,46
51,5,38,10
51,5,39,1
51,5,40,1
51,6,33,3
51,6,34,30
51,6,35,38
51,6,36,55
51,6,37,24
51,7,34,2
51,7,35,3
51,7,37,1
51,8,35,1
53,3,36,1
53,3,37,1
53,4,35,1
53,7,39,1
61,4,35,1
61,4,36,1
