lineNumber,colorGrade,leafGrade,stapleCode
1,41,3,34
2,41,4,35
3,41,3,34
4,41,4,34
5,41,4,34
6,41,5,35
7,41,4,35
8,41,4,34
9,41,4,34
10,41,6,34
11,41,6,35
12,41,4,35
13,41,5,35
14,41,5,34
15,41,4,35
16,41,4,34
17,41,5,34
18,41,5,34
19,41,4,34
20,41,4,34
21,41,4,36
22,41,5,37
23,41,5,37
24,41,5,37
25,41,4,36
26,31,4,35
27,41,4,34
28,41,4,34
29,41,4,35
30,41,4,34
31,41,4,34
32,31,4,34
33,31,4,35
34,41,3,34
35,41,4,36
36,41,3,34
37,41,3,34
38,41,3,34
39,41,5,36
40,41,6,35
41,41,6,35
42,41,4,34
43,41,3,34
44,41,4,34
45,41,4,35
46,41,4,35
47,41,3,33
48,41,3,34
49,41,3,34
50,41,5,37
51,41,4,32
52,41,3,34
53,41,3,33
54,41,3,33
55,41,4,34
56,41,4,35
57,31,3,35
58,31,3,34
59,41,3,34
60,41,4,34
61,41,4,35
62,41,4,35
63,41,4,34
64,41,4,34
65,41,4,35
66,41,4,35
67,41,3,33
68,41,5,34
69,41,4,36
70,41,4,35
71,41,5,35
72,41,4,35
73,41,4,34
74,41,4,34
75,41,3,34
76,41,3,33
77,41,3,33
78,41,3,33
79,41,3,35
80,41,3,35
81,41,3,33
82,41,3,33
83,41,4,34
84,41,3,34
85,41,3,34
86,31,3,34
87,31,3,34
88,41,4,33
89,31,3,34
90,41,4,35
91,31,3,35
92,31,3,35
93,41,3,34
94,41,5,34
95,41,5,35
96,41,6,34
97,41,6,35
98,41,5,33
99,41,6,36
100,41,6,36
101,41,6,35
102,41,6,36
103,41,6,35
104,41,5,35
105,41,5,36
106,41,4,36
107,41,4,33
108,41,4,33
109,41,4,34
110,41,3,34
111,41,4,34
112,41,4,35
113,41,4,35
114,41,5,36
115,41,4,34
116,41,3,34
117,41,3,35
118,41,3,36
119,41,4,35
120,41,4,35
121,41,4,35
122,41,4,35
123,41,4,36
124,41,4,35
125,41,4,35
126,41,4,35
127,41,4,35
128,41,4,36
129,41,4,35
130,41,5,36
131,41,4,35
132,41,4,36
133,41,4,36
134,41,4,35
135,41,4,36
136,41,5,35
137,41,5,36
138,41,4,36
139,41,4,35
140,41,4,35
141,41,4,35
142,41,4,35
143,41,5,35
144,41,4,35
145,41,4,35
146,41,4,35
147,41,4,35
148,41,5,35
149,41,5,36
150,41,4,35
151,41,5,35
152,41,5,34
153,41,5,36
154,41,5,37
155,41,5,35
156,41,5,36
157,41,4,35
158,41,5,35
159,41,5,36
160,41,6,36
161,41,5,36
162,41,5,35
163,41,5,36
164,41,5,35
165,41,5,36
166,41,5,35
167,41,5,36
168,41,4,35
169,41,5,35
170,41,5,36
171,41,4,35
172,41,5,36
173,41,4,36
174,41,4,35
175,41,4,35
176,41,5,36
177,41,4,35
178,41,4,35
179,41,4,36
180,41,5,36
181,41,4,35
182,41,5,36
183,41,4,36
184,41,4,35
185,31,5,36
186,31,5,36
187,31,4,36
188,31,4,36
189,31,5,36
190,31,4,36
191,31,4,36
192,31,4,36
193,31,5,36
194,31,4,36
195,31,4,36
196,31,4,36
197,31,4,36
198,31,4,36
199,31,4,36
200,31,4,36
201,41,4,36
202,31,4,36
203,31,4,36
204,31,5,36
205,31,5,36
206,31,5,36
207,31,5,36
208,31,5,36
209,31,5,36
210,31,4,36
211,31,4,36
212,31,4,36
213,31,4,36
214,31,4,36
215,31,5,36
216,31,4,36
217,31,5,36
218,31,4,36
219,31,4,36
220,31,4,36
221,31,3,36
222,31,4,36
223,31,3,36
224,31,3,36
225,31,3,36
226,31,3,36
227,31,4,36
228,31,4,36
229,31,3,36
230,31,3,36
231,31,3,36
232,31,3,36
233,31,3,36
234,31,3,36
235,31,3,36
236,31,4,36
237,31,3,36
238,31,3,36
239,31,4,36
240,31,3,36
241,31,3,36
242,31,3,36
243,31,3,36
244,31,3,36
245,31,3,36
246,31,3,36
247,31,3,36
248,31,3,36
249,31,3,36
250,31,3,36
251,31,3,36
252,31,3,36
253,31,4,36
254,31,4,36
255,31,3,37
256,31,4,37
257,41,4,37
258,31,3,37
259,31,3,37
260,41,4,37
261,41,3,37
262,41,3,37
263,41,4,37
264,41,3,37
265,41,3,37
266,41,3,37
267,31,3,37
268,41,4,37
269,41,4,37
270,31,4,37
271,31,3,37
272,31,3,37
273,31,3,36
274,31,3,36
275,31,4,36
276,31,3,36
277,31,3,36
278,31,3,36
279,31,3,36
280,31,3,36
281,31,3,36
282,31,3,36
283,31,3,36
284,31,3,36
285,31,3,36
286,31,3,36
287,31,3,36
288,31,4,36
289,31,4,35
290,31,4,36
291,31,4,36
292,31,4,36
293,31,4,36
294,31,4,36
295,31,3,36
296,31,4,36
297,31,3,36
298,31,4,36
299,31,4,36
300,31,4,36
301,31,5,36
302,31,4,36
303,31,4,36
304,31,5,36
305,31,5,36
306,31,4,36
307,31,3,36
308,31,4,36
309,31,4,36
310,31,4,36
311,41,4,36
312,31,4,36
313,31,4,36
314,31,4,36
315,31,4,36
316,31,4,36
317,31,4,36
318,31,4,36
319,31,4,36
320,31,4,36
321,31,4,36
322,31,4,36
323,31,4,36
324,31,4,36
325,31,4,36
326,31,4,36
327,31,4,36
328,31,4,36
329,31,4,36
330,31,4,36
331,31,5,36
332,31,4,36
333,31,5,36
334,31,4,36
335,31,4,36
336,31,5,36
337,31,5,36
338,31,4,36
339,31,4,36
340,31,4,36
341,31,4,36
342,31,4,36
343,31,4,36
344,41,4,36
345,31,4,36
346,31,4,36
347,31,4,36
348,31,4,36
349,31,4,36
350,31,4,36
351,31,4,36
352,31,4,36
353,31,4,36
354,31,4,36
355,31,5,36
356,31,4,36
357,31,4,36
358,31,4,36
359,41,4,36
360,31,4,36
361,31,4,36
362,31,4,36
363,31,4,36
364,31,4,36
365,31,4,36
366,31,3,36
367,31,4,36
368,31,4,36
369,31,4,36
370,31,4,36
371,31,4,36
372,31,4,36
373,31,5,36
374,31,4,37
375,41,5,37
376,41,4,37
377,31,5,37
378,31,5,37
379,41,5,37
380,41,4,37
381,41,4,37
382,41,4,37
383,41,5,37
384,41,4,37
385,41,4,37
386,41,4,37
387,31,5,37
388,41,4,37
389,41,4,37
390,41,4,37
391,41,3,37
392,31,4,35
393,31,4,35
394,31,4,35
395,31,3,35
396,31,4,35
397,31,4,35
398,31,3,35
399,31,4,35
400,31,3,35
401,31,3,35
402,31,3,35
403,31,3,35
404,31,4,35
405,31,3,35
406,31,3,35
407,31,3,36
408,31,3,36
409,31,3,36
410,31,3,36
411,31,4,36
412,31,3,36
413,31,4,36
414,31,3,36
415,31,3,36
416,31,4,36
417,31,3,36
418,31,4,36
419,31,3,36
420,31,3,36
421,31,4,36
422,31,4,36
423,31,4,37
424,31,3,36
425,31,3,36
426,31,4,36
427,31,3,36
428,31,4,36
429,31,3,36
430,31,3,36
431,31,3,36
432,31,3,36
433,31,3,36
434,31,3,36
435,41,3,36
436,31,3,36
437,41,4,36
438,41,3,37
439,31,3,37
440,31,3,37
441,31,3,37
442,41,3,37
443,41,3,37
444,31,3,37
445,31,3,37
446,41,3,37
447,41,3,37
448,41,3,37
449,41,3,37
450,41,4,37
451,41,3,37
452,41,3,37
453,41,3,37
454,41,4,37
455,41,4,37
456,41,4,37
457,41,3,37
458,41,4,37
459,41,4,37
460,41,3,37
461,41,3,37
462,31,3,37
463,41,3,37
464,41,4,37
465,41,3,37
466,41,3,37
467,31,3,37
468,31,3,37
469,31,3,37
470,31,3,37
471,31,3,37
472,41,3,37
473,41,4,37
474,41,4,37
475,41,4,37
476,41,3,37
477,41,4,37
478,41,3,37
479,41,3,37
480,41,4,37
481,41,4,37
482,41,4,37
483,31,3,36
484,31,3,36
485,31,3,36
486,31,3,36
487,31,3,36
488,31,3,36
489,31,3,36
490,31,3,36
491,31,3,36
492,31,3,36
493,31,3,36
494,31,3,36
495,31,3,36
496,31,2,36
497,31,3,37
498,31,3,37
499,31,3,37
500,31,3,37
501,31,4,37
502,31,3,37
503,31,3,37
504,31,3,37
505,31,3,37
506,31,3,37
507,31,3,37
508,31,4,36
509,31,3,37
510,31,3,37
511,31,4,37
512,31,3,37
513,41,3,37
514,51,3,37
515,31,3,37
516,31,3,37
517,31,3,37
518,41,3,37
519,31,3,37
520,31,3,37
521,31,3,37
522,31,3,37
523,31,4,37
524,31,3,37
525,31,4,37
526,31,3,37
527,31,3,37
528,31,3,37
529,31,3,37
530,31,3,37
531,31,3,37
532,31,3,37
533,31,4,37
534,41,4,37
535,31,4,38
536,31,4,38
537,41,4,38
538,31,4,38
539,41,4,38
540,41,4,38
541,41,4,38
542,31,4,38
543,41,3,38
544,41,4,38
545,31,3,38
546,41,4,38
547,41,4,38
548,31,3,38
549,31,3,38
550,31,4,38
551,31,4,38
552,31,3,38
553,31,3,38
554,31,4,38
555,31,4,38
556,31,3,38
557,31,4,38
558,31,3,38
559,31,4,38
560,31,3,38
561,31,3,38
562,41,3,38
563,31,4,38
564,31,3,38
565,31,3,38
566,31,3,37
567,31,3,37
568,31,3,37
569,31,3,37
570,31,3,37
571,31,4,37
572,31,3,37
573,31,3,37
574,31,3,37
575,31,3,37
576,31,3,37
577,31,3,37
578,31,3,36
579,31,3,36
580,31,3,36
581,31,3,36
582,31,4,36
583,31,3,36
584,31,3,36
585,31,3,36
586,31,3,36
587,31,3,36
588,31,3,36
589,31,3,36
590,31,3,36
591,31,3,36
592,31,3,36
593,31,3,36
594,41,4,37
595,41,3,37
596,41,3,37
597,41,3,37
598,41,4,37
599,41,4,37
600,41,4,37
601,41,4,37
602,41,4,37
603,41,4,37
604,41,4,37
605,31,4,37
606,31,3,37
607,31,3,37
608,31,3,37
609,31,3,37
610,31,3,37
611,31,3,37
612,31,3,37
613,31,3,37
614,31,3,37
615,31,3,37
616,31,3,37
617,31,3,37
618,31,3,37
619,31,3,37
620,31,3,37
621,31,3,37
622,31,4,37
623,31,3,37
624,31,3,37
625,31,3,37
626,31,3,37
627,31,3,37
628,31,4,37
629,31,3,37
630,31,3,37
631,31,3,37
632,31,3,37
633,31,3,37
634,31,4,37
635,31,3,37
636,31,3,37
637,31,3,37
638,31,3,37
639,41,5,37
640,41,4,37
641,31,3,37
642,41,4,37
643,41,5,37
644,41,5,37
645,41,5,37
646,31,4,37
647,41,5,37
648,31,4,37
649,41,5,37
650,31,5,37
651,41,5,37
652,41,4,37
653,41,5,37
654,41,5,37
655,41,5,37
656,31,3,39
657,31,4,37
658,31,4,37
659,31,4,37
660,31,4,37
661,31,4,37
662,31,3,37
663,31,3,37
664,31,4,37
665,31,3,37
666,31,3,37
667,31,4,37
668,31,3,37
669,31,4,37
670,31,3,37
671,31,3,37
672,31,4,37
673,31,4,37
674,31,4,37
675,31,3,37
676,31,3,37
677,31,4,37
678,31,3,37
679,31,4,37
680,31,4,37
681,31,3,37
682,31,3,37
683,31,4,37
684,31,3,37
685,31,3,37
686,31,3,37
687,31,3,37
688,31,3,37
689,31,3,37
690,31,3,36
691,41,4,37
692,41,4,37
693,41,4,37
694,41,3,37
695,31,4,37
696,41,4,37
697,41,4,37
698,41,4,37
699,41,3,37
700,31,3,37
701,31,4,37
702,41,4,37
703,31,4,37
704,31,3,37
705,31,4,37
706,31,3,37
707,31,4,37
708,31,3,37
709,41,3,37
710,31,4,37
711,41,3,37
712,31,4,37
713,31,3,37
714,41,3,37
715,41,5,36
716,41,6,35
717,41,5,36
718,31,3,35
719,31,3,36
720,41,5,36
721,41,5,37
722,41,5,36
723,41,4,35
724,41,4,35
725,41,4,35
726,41,4,35
727,41,4,35
728,41,4,34
729,41,3,35
730,41,4,35
731,41,4,35
732,41,5,36
733,41,4,35
734,41,4,35
735,41,5,36
736,41,3,35
737,41,3,35
738,41,4,34
739,41,4,35
740,41,4,37
741,41,4,34
742,41,4,35
743,31,4,36
744,41,4,35
745,41,3,35
746,41,5,34
747,41,3,34
748,41,4,35
749,41,3,35
750,41,3,34
751,31,4,35
752,41,3,35
753,31,3,34
754,41,4,35
755,41,3,34
756,31,4,34
757,31,4,34
758,31,3,34
759,31,4,34
760,41,3,35
761,31,3,35
762,31,3,35
763,31,4,34
764,41,4,35
765,31,3,35
766,41,3,34
767,41,4,35
768,41,4,34
769,31,3,34
770,41,3,35
771,41,4,34
772,41,4,35
773,41,4,34
774,41,3,34
775,41,5,35
776,41,4,36
777,41,4,36
778,41,5,35
779,41,4,36
780,41,4,35
781,41,4,34
782,41,4,35
783,41,4,34
784,51,4,34
785,41,4,34
786,41,4,35
787,51,4,35
788,41,4,37
789,41,3,36
790,41,3,37
791,41,4,38
792,41,4,37
793,41,4,37
794,41,3,38
795,41,5,38
796,41,4,37
797,41,3,37
798,41,3,37
799,41,3,38
800,41,4,37
801,41,4,39
802,41,4,39
803,41,4,39
804,41,4,37
805,41,4,38
806,41,5,39
807,41,4,38
808,41,4,38
809,41,4,39
810,41,4,38
811,41,4,38
812,41,4,39
813,41,4,37
814,41,4,38
815,41,4,38
816,41,5,39
817,41,4,38
818,41,4,39
819,41,5,39
820,41,5,38
821,41,5,38
822,41,4,39
823,41,5,38
824,41,4,37
825,41,4,39
826,41,5,38
827,41,4,38
828,41,4,37
829,41,4,38
830,41,5,38
831,41,4,38
832,41,4,37
833,41,4,38
834,41,5,37
835,41,6,39
836,41,4,38
837,41,4,38
838,41,5,38
839,41,4,38
840,41,4,38
841,41,4,38
842,41,4,38
843,41,4,38
844,41,4,39
845,41,4,38
846,41,4,38
847,41,4,39
848,41,4,37
849,41,4,38
850,41,4,38
851,41,5,38
852,41,4,38
853,41,4,37
854,41,4,38
855,41,4,38
856,41,4,39
857,41,4,37
858,41,4,38
859,41,3,39
860,31,3,37
861,41,3,38
862,41,3,35
863,41,3,36
864,41,3,37
865,41,4,38
866,41,4,38
867,41,4,39
868,41,4,38
869,41,4,38
870,41,4,39
871,41,3,38
872,41,3,38
873,31,3,35
874,41,3,38
875,41,3,37
876,41,4,38
877,41,4,38
878,41,4,38
879,41,3,37
880,41,4,39
881,41,4,37
882,41,3,39
883,41,3,37
884,41,3,40
885,51,3,37
886,41,3,37
887,41,4,38
888,51,3,38
889,41,3,37
890,41,4,40
891,41,3,39
892,41,4,38
893,41,4,37
894,41,3,38
895,41,3,38
896,41,3,38
897,41,3,38
898,41,3,37
899,41,3,36
900,41,4,37
901,41,4,36
902,41,3,36
903,41,4,37
904,41,4,37
905,41,3,37
906,41,4,37
907,41,4,37
908,41,4,37
909,41,4,37
910,41,4,38
911,41,4,37
912,41,4,37
913,41,4,38
